State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,Abrasives manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Air, motor, and railroad freight terminal","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Aluminum fabrications,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Assembly and fabrications,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Asphalt manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Bakery,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Bedding manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Boot and shoe manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Bottling companies,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Brick and structural clay products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Carpet manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Cartage and express facilities,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Cement, bulk storage","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Chemical processing and manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Cloth products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Cosmetics manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
